업체코드,업체명,업종,현역배정인원,현역편입인원,현역복무인원,보충역배정인원,보충역편입인원,보충역복무인원,채용유무
119930281,수정전자산업(주),전자,0,0,0,665,1,5,모집중
120150764,수영테크(주),철강,0,0,0,1476,0,1,모집중
120170783,수성피앤티주식회사,철강,0,0,0,1501,0,2,
120200143,스마일드래곤(주),정보처리,0,0,1,531,2,2,모집중
120190746,순양전자,화학,0,0,0,1148,0,0,
120200849,수형산업개발(주)제2공장,임산물가공,0,0,0,1148,0,1,
120002351,슈어엠(주),정보처리,0,0,0,665,2,4,
120190298,수성밸브공업(주),기계,0,0,1,1476,1,1,
120190503,스트라티오코리아,정보처리,0,0,1,665,0,1,
120150632,쉐이커미디어 주식회사,정보처리,0,0,0,665,0,0,
120171167,스마일가구(주),생활용품,0,0,1,1148,0,1,
120180693,스카이인슈판넬,철강,0,0,0,813,1,3,
120150336,스톨츠주식회사,기계,1,0,1,813,0,0,
120180489,스카나코리아하이드로릭(주),전기,0,0,0,815,0,0,
120200377,스마트쿱(주),정보처리,1,1,1,665,0,0,
120200734,스킨큐어(주),화학,0,0,0,1501,0,0,
120200038,스페이스워크(주),정보처리,0,0,0,665,0,0,
120191043,수원지관산업,화학,0,0,2,1501,0,4,
120180456,수옵틱스,기계,0,0,1,815,0,3,
120180376,스칸젯매크론(주),기계,0,0,2,534,0,0,
120190497,스킨큐어주식회사,화학,0,0,0,25,0,2,
120160432,스마트전자(주),전자,0,0,0,0,0,2,
120200412,스테이폴리오,정보처리,0,0,0,665,0,0,모집중
120170558,스마트시스템(주),전자,0,0,0,534,0,0,
120110203,슐저지티씨테크놀로지코리아(주),철강,1,1,1,813,1,1,
120190986,시큐놀로지랩 유한회사,정보처리,0,0,1,1501,0,0,
120160086,스마트디엔에스(주),기계,0,0,4,1501,0,2,
120200826,쉬프트정보통신(주),정보처리,1,0,0,1501,0,0,모집중
120171393,승일미디어그룹 주식회사,생활용품,0,0,1,813,0,0,
120130555,시스템벤트(주),기계,2,2,6,531,0,1,
120180648,스탠다드에너지(주),전기,1,1,2,813,0,0,
120171151,승보스틸,전기,0,0,3,1148,0,0,
120170453,시그넷이브이,전기,1,1,3,460,0,1,
120200736,신룡,기계,1,0,0,1501,0,0,모집중
120200530,시스킨코리아(주),화학,1,1,1,1476,0,0,
120170829,시그마시스템,전기,0,0,1,0,0,0,
120180738,시스메이트,전자,0,0,0,665,0,0,
120171808,신기산업(주),기계,2,1,6,1476,0,4,
120190730,신생공업(주),철강,2,0,0,1148,0,1,모집중
120180833,신라파이어(주),기계,0,0,1,0,0,3,
119940462,시믹씨엠오코리아(주),의료의약,0,0,0,1476,0,1,
119950708,신동페인트공업(주),화학,0,0,3,1476,1,3,모집중
120050093,신비앤텍(주),기계,2,2,12,813,0,1,
120000549,신광정공(주),기계,0,0,1,0,0,0,
120130504,승현정밀(주),기계,1,0,1,665,0,0,
120130233,신광정보통신(주),통신기기,0,0,0,1501,1,2,모집중
120011600,신명테크(주),기계,0,0,0,815,0,2,모집중
120190113,신라엔지니어링(주),기계,2,1,2,813,0,0,
119980499,신광화학공업(주),화학,2,1,3,815,0,3,
120110469,시너스(주),기계,0,0,2,1476,0,0,모집중
120180731,승진(주),화학,0,0,1,593,0,0,
120170731,신명팩,화학,0,0,0,1501,0,0,
120040304,승일전자(주),전자,0,0,0,815,0,1,
120011597,신대림정밀공업(주),기계,0,0,0,815,0,0,
120200963,슬로푸드(주),농산물가공,0,0,0,815,0,0,
119951006,신성전기(주),전기,0,0,0,534,1,1,
120190642,신성씨앤에스(주),철강,0,0,1,531,1,3,
120150181,신성정밀주식회사,기계,0,0,1,1476,0,0,모집중
120000128,신성컨트롤(주),철강,0,0,0,813,0,0,
120171199,신성켐텍(주),화학,1,0,2,1148,2,5,모집중
120191324,신성엠에스,기계,1,0,1,1476,0,0,
120160713,신성ST(주),철강,2,2,3,1148,0,1,
120190138,신성공업(주),기계,0,0,1,813,0,0,
120200566,신성몰드텍,기계,1,0,0,1476,0,0,
120200885,신성모터스(주),기계,1,0,0,1148,0,0,
120200448,신성산전(주),전기,0,0,0,813,0,0,
120160827,신성몰드테크(주),기계,0,0,1,815,0,0,
120150869,신성에스앤티(주),기계,1,1,1,1148,0,1,
119980240,신성산업(주),기계,1,0,2,1148,2,5,
120150538,신성전자정밀,통신기기,1,0,2,1501,0,0,
120191026,시큐인포,통신기기,1,0,1,1501,0,0,
120140036,신동테크,기계,1,0,3,1476,0,1,
120171060,신영스타킹(주),섬유,0,0,0,813,0,0,
120080280,신우산업(주),기계,1,0,2,460,0,1,
120130172,신영정밀(주),전자,0,0,1,593,0,0,
120130211,신우지엠티,전기,0,0,0,534,0,8,모집중
120190660,신영기공(주),기계,0,0,0,1148,0,0,
100200128,신승전기(주),전기,0,0,0,815,0,1,
120180609,신양에너지(주),기계,1,0,1,813,0,1,
120171687,신영제어기(주),기계,1,1,3,1476,0,1,
120110175,신우기전(주),기계,0,0,1,815,0,2,
120080225,신우금속(주),철강,0,0,0,534,0,1,
120160671,신우신(주),기계,1,0,1,1148,0,1,
120200483,신우산업(주),기계,1,0,0,320,0,0,
120170575,신우(주),기계,0,0,1,1148,0,0,
120190142,신영정밀(주),기계,0,0,1,813,0,0,
120190461,신우산업(주),화학,0,0,0,1476,0,2,
120040396,신우프레스월롱공장,화학,0,0,0,531,0,3,
120120232,신일산업(주),섬유,0,0,0,1148,0,0,
120200626,신우폴리텍스(주),철강,1,0,0,593,0,0,
119911160,신일전기(주),전기,0,0,1,815,1,4,모집중
119970743,신일화학공업(주),화학,0,0,2,1476,0,5,모집중
119960717,신원합섬(주),섬유,0,0,0,1148,0,1,모집중
119980560,신원화학(주),화학,1,0,0,1476,1,1,모집중
120120437,신정개발특장차(주),민영방산,0,0,0,534,0,0,
120180679,신원기업,철강,1,0,0,593,0,0,
120100259,신원기계(주),철강,0,0,1,1476,0,0,
120130092,신일이엔티(주),기계,1,0,2,1476,0,1,
119960592,신일피엔에스(주),화학,0,0,0,534,0,0,모집중
120190550,신우코스텍(주)보은지점,화학,0,0,0,593,0,0,
119920127,신일인텍(주),기계,1,0,5,1148,0,0,
120140504,신진에스티피(주),화학,0,0,0,593,0,2,
120050014,신한이피에스(주),전기,1,0,4,1476,0,1,
120180116,신정기공,기계,0,0,1,1148,0,0,
119970744,신진에스티에이(주),화학,0,0,0,320,2,3,
120001541,신한에이엠(주),섬유,0,0,0,1476,0,0,
120171624,신창이엔지(주),기계,0,0,3,0,0,0,
120001820,신정우산업(주),전기,0,0,3,1501,0,0,
119980246,신창정공(주),기계,0,0,1,1148,0,1,
119980245,신창실업(주),기계,1,0,3,813,0,1,모집중
120140318,신진에스피이 주식회사,화학,0,0,0,1476,0,1,모집중
120160858,신한이엠씨,전기,0,0,0,815,0,0,
120190637,신한전자,전자,0,0,0,593,0,0,
120160090,신춘(주),기계,1,0,1,1501,0,0,
120171264,신진화스너공업(주),철강,2,2,6,813,0,1,
120190357,신중애프앤디,생활용품,0,0,0,1476,0,0,
120200317,신화하이텍,철강,1,1,1,534,1,1,
120180013,신한네트웍스(주),통신기기,1,0,2,460,0,0,
119990874,신한정밀(주),전자,0,0,4,1476,2,6,
120191112,신흥밸브공업(주),기계,1,0,0,815,1,1,
120171041,신화테크,기계,1,0,2,813,0,0,
120150970,신호시스템(주),전자,0,0,1,1476,0,1,
120190694,신진레미콘(주),시멘요업,0,0,1,1148,0,0,
120180209,신화산업(주),전기,1,1,2,1501,0,0,
120120267,신흥에스이씨(주),전기,2,2,8,1501,2,4,
120110303,신화기연(주),기계,1,0,2,1476,0,0,
120150687,신현수산(주),수산물가공,0,0,0,534,0,2,모집중
120150006,신화기업(주)제2공장,기계,0,0,0,815,0,0,
120160120,신화인터내쇼날(주),기계,0,0,0,1501,0,1,
119911331,신흥기업(주),기계,0,0,0,593,0,4,
120080157,신한주철공업(주),철강,1,0,0,1148,0,0,
120190166,신화레미콘(주),시멘요업,1,0,0,813,1,1,
120170640,신형에프에이주식회사,기계,1,0,0,1501,0,1,
120160310,써밋디자인,정보처리,0,0,0,813,0,1,
120130442,심심이(주),정보처리,0,0,0,665,0,4,
120171381,싸이텍,기계,1,1,3,813,0,0,
120070207,실리콘밸리(주),전자,1,0,4,1148,0,0,
120140183,실리콘디스플레이(주),전자,2,2,10,1501,0,3,
120110165,쌍용전력(주),전기,0,0,5,534,2,8,
120171040,심플라인,생활용품,1,0,2,531,0,0,
119951012,쌍용전기(주),전기,1,0,2,1476,0,1,
120140481,신흥정공(주),기계,1,1,2,534,0,1,
119950333,신흥정공(주),기계,0,0,2,1476,0,1,모집중
120191048,신한티엠,화학,0,0,1,1501,1,2,
119910774,쌍신전자통신(주),전자,0,0,0,813,3,9,
120130424,써멀마스터(주),기계,0,0,1,1501,0,3,
120180856,썬에스지엠(주),기계,1,1,2,1476,0,0,
120090072,신흥화학(주),화학,0,0,0,1501,0,1,
120190853,쎄미콤,기계,0,0,1,1501,0,0,
120140023,쏠라리버(주),전기,0,0,4,1476,0,6,
120190123,씨아이그룹,정보처리,0,0,0,665,0,2,
119961042,씨씨알(주),게임S/W,0,0,0,665,0,2,
120150781,씨앤씨,생활용품,0,0,1,531,0,2,
120200838,쏘마,정보처리,1,0,0,1501,0,0,
120150594,씨알살림축산(주),식음료,0,0,0,1501,0,7,모집중
120150525,쓰리에이씨,전기,0,0,0,1501,0,0,
120200217,씨알에스큐브,정보처리,0,0,0,665,0,1,
120140304,씨앤에스메디칼(주),의료의약,0,0,1,531,0,0,
120200430,쎄트렉아이,기계,0,0,0,813,0,0,
120120100,씨앤에스포리마,화학,0,0,3,1501,0,4,모집중
120130060,씨엔티테크(주),정보처리,0,0,0,665,1,1,
120130246,씨아이즈(주),전자,1,1,4,1501,0,1,
120150452,쏠라테크(주),전기,0,0,0,1501,0,0,
120170502,씨엠코리아,기계,0,0,1,534,0,0,
120180260,씨앤에스테크(주),화학,0,0,0,1501,0,2,
120200982,씨엔리(주)사천공장,기계,2,2,2,815,0,0,
119990157,씨에스메탈(주),철강,0,0,0,815,0,0,
120190177,씨지아이,전자,0,0,0,813,0,0,
120120143,씨트론(주),기계,0,0,1,1476,0,0,
120200379,씨유박스,정보처리,1,0,0,665,0,0,
120161019,씨에스이노베이션주식회사,전자,1,1,13,665,0,3,
120200189,씨아이씨소프트(주),정보처리,2,0,0,815,0,0,
120170721,씨에스씨인터내셔날(주),화학,0,0,0,1501,0,0,
120120467,씨케이에프에스티(주),기계,0,0,3,813,0,0,
120170850,아리랑패널,철강,1,0,1,1501,1,1,
120140423,씨에스이(주),기계,2,2,3,813,0,0,
120140109,아메스산업(주),전자,0,0,1,1476,0,1,
120200036,씨지에스아이티(주),정보처리,0,0,0,665,0,0,
120190210,씨에스켐텍,화학,3,0,1,813,0,1,모집중
120200703,아성프랜트(주),철강,1,1,0,1501,0,0,
120171484,아미스테크놀로지(주),정보처리,0,0,2,665,0,1,
120160553,아광엔지니어링 합자회사,기계,0,0,0,593,0,0,
120070097,씨아이씨라이프(주),정보처리,0,0,0,0,0,0,
120200870,씨아이에스(주),기계,1,1,1,1148,0,0,
119991627,씨티전기(주),전기,0,0,0,1476,4,9,모집중
120190097,씨엠유니버스(주),정보처리,0,0,2,665,0,0,
120200070,씨엠텍,전자,0,0,0,1476,0,0,
119910425,아륭기공(주),기계,0,0,1,460,0,0,
120190968,씨엔비스(주),정보처리,0,0,0,1501,0,0,
120140136,아린테크(주),전자,0,0,0,1501,1,1,모집중
120200595,아남중공업(주),전기,1,0,0,1476,0,0,
120200344,씨오션전자(주),기계,1,0,0,534,0,0,
120170719,씰테크(주),화학,0,0,0,1501,0,0,
120191090,아람휴비스(주),의료의약,0,0,0,1501,0,0,
120180128,씨피케이,전기,1,0,0,1501,0,1,
120070280,아성크린후로텍(주),화학,1,0,4,813,0,2,
120200082,아맥스코스랩(주),화학,0,0,0,1476,0,0,
120190685,씨엠에이글로벌,섬유,0,0,0,1148,0,1,
120140218,쓰리알랩주식회사,전자,2,2,6,1501,0,0,
120100043,아이쓰리시스템(주),민영방산,2,2,7,813,0,0,
119920026,아신산업(주),철강,0,0,0,1148,1,4,
120140202,아셈테크(주),기계,2,0,1,1501,0,0,
120160145,아이엘사이언스,전기,0,0,2,1501,0,0,
120180964,야성산업(주),섬유,1,0,2,1148,0,0,
120180458,아론비행선박산업(주),기계,0,0,0,815,0,0,
119991964,양재미디어(주),정보처리,0,0,0,665,0,1,
120130303,아이메디컴(주),의료의약,0,0,0,1501,0,5,
119930191,아메코(주),기계,0,0,1,815,0,0,
120200458,아르고넷,정보처리,1,1,1,813,0,0,
120160074,에스더블류도로안전 (주),철강,1,1,3,813,2,7,모집중
120180952,에스에스팜(주),의료의약,0,0,0,1476,1,2,
120161192,아이엔지기술(주),철강,1,0,1,1476,0,0,
120171247,아이모스시스템 주식회사,전자,1,1,1,813,0,0,
120190412,어니언커뮤니케이션즈,정보처리,0,0,1,1476,0,2,
120020516,씨와이오토텍(주),기계,0,0,1,1501,0,2,
120070439,에스엠인더스트리(주)서림하이팩,화학,0,0,0,593,2,3,
120200763,아르고스다인,기계,1,0,0,1501,0,0,
119920280,안성공업(주),전자,1,1,5,665,0,3,
120200679,아세아도(주),의료의약,0,0,0,1501,0,0,
120160130,아름텍,기계,0,0,2,1501,0,1,
120200529,아로마뱅크,화학,0,0,0,1476,0,0,
120180267,에스이앤티(주),전자,0,0,1,1501,0,0,
120060079,에스브이에스(주),기계,1,1,3,1501,0,0,
120170700,에스이앤에스,전자,0,0,3,1501,0,0,
120200547,에스에이,기계,1,0,0,1476,0,0,
120130327,아프로코리아(주),의료의약,0,0,0,1501,1,3,
120160353,아이비에스,정보처리,0,0,1,813,0,0,
120130441,에스아이티(주),기계,1,1,2,1476,0,0,
120110530,에스아이이(주),기계,0,0,0,1148,0,0,
119990495,아진금형(주),기계,0,0,0,0,0,1,
120200751,에스엘티(주),기계,2,1,1,1501,0,2,
120140131,알에스오토메이션,기계,2,2,6,1501,0,1,
120090177,아이씨피(주),기계,0,0,0,813,0,0,
120130617,아이스파이프(주),전기,0,0,1,665,0,0,
120190111,아이엔에스,기계,0,0,1,813,0,0,
120180713,씨엔티드림,화학,0,0,2,813,0,0,
119900003,에스지생활안전주식회사평택공장(방산),민영방산,2,0,3,1501,0,0,모집중
119890003,에스티엑스엔진(주),민영방산,1,0,0,815,0,0,
120150661,에스씨에스프로(주),통신기기,1,1,2,665,0,1,
120171611,에스테크,철강,0,0,1,1476,1,1,
119970315,에스피테크(유),기계,0,0,0,0,0,1,
120010732,앤시정보기술(주),정보처리,0,0,0,534,0,1,
120140626,에스이에스티(주),기계,1,0,1,534,0,1,
120110195,에스피오(주),기계,0,0,0,813,0,1,모집중
119970558,에스피티씨(주),전자,1,0,2,1476,0,0,
120200106,아주산업(주)병점공장,시멘요업,0,0,0,1501,0,0,
120171489,에스엘지주식회사,정보처리,0,1,3,0,2,2,
120170656,에스코정공,기계,0,0,2,1501,0,0,
120150914,에이알텍,전자,0,0,0,1148,0,0,
120110142,아이알링크(주),정보처리,0,0,3,665,0,1,
120170972,에스지서보(주),기계,1,1,2,815,0,1,
120180943,에스티케이케미칼(주),화학,0,0,0,0,0,1,
120070101,에스지솔루션(주),민영방산,0,0,0,815,0,2,
120190441,아인텍 주식회사,철강,0,0,0,1476,0,1,
120191036,에스카,통신기기,0,0,0,1501,0,0,
120120109,에이치씨알(주),기계,1,0,4,1501,0,2,모집중
120180349,에스지디지털(주),전기,0,0,1,1501,0,0,
